MaleID,TroopID,Year,Sample_Length,Foraging,Season,Consort,OSR
1,1,2003,1202,931,Long,No,0.17
3,1,2003,1207,1207,Long,No,0.17
18,1,2003,1201,1192,Long,No,0.17
11,1,2003,1207,0,Long,No,0.17
3,1,2003,1216,0,Long,No,0.17
9,1,2003,1202,1089,Long,No,0.17
7,1,2003,1204,1204,Long,No,0.17
11,1,2003,1202,769,Long,No,0.17
1,1,2003,1210,1210,Long,No,0.17
1,1,2003,1206,908,Long,No,0.17
9,1,2003,1204,1204,Long,No,0.17
11,1,2003,1204,1067,Long,No,0.17
3,1,2003,1202,1202,Long,No,0.17
18,1,2003,1204,477,Long,No,0.17
7,1,2003,1205,0,Long,No,0.17
1,1,2003,1201,503,Long,No,0.17
11,1,2003,1207,232,Long,No,0.17
1,1,2003,1212,1086,Long,No,0.17
9,1,2003,1200,920,Long,No,0.17
3,1,2003,1201,1201,Long,No,0.17
18,1,2003,1202,1202,Long,No,0.17
7,1,2003,1199,1129,Long,No,0.17
9,1,2003,1090,1090,Long,No,0.17
3,1,2003,1203,1154,Long,No,0.17
11,1,2003,1207,625,Long,No,0.17
3,1,2003,1202,866,Long,No,0.17
1,1,2003,1209,1187,Long,No,0.17
7,1,2003,1203,0,Long,No,0.17
18,1,2003,1202,737,Long,No,0.17
11,1,2003,1203,369,Long,No,0.17
7,1,2003,1201,0,Long,No,0.17
7,1,2003,1206,685,Long,No,0.17
1,1,2003,1213,115,Long,No,0.17
11,1,2003,1209,608,Long,No,0.17
9,1,2003,1204,759,Long,No,0.17
18,1,2003,1201,803,Long,No,0.17
3,1,2003,1201,706,Long,No,0.17
7,1,2003,1203,0,Long,No,0.25
18,1,2003,1207,0,Long,No,0.25
3,1,2003,1214,0,Long,No,0.25
9,1,2003,1203,922,Long,No,0.25
1,1,2003,1211,1130,Long,No,0.25
11,1,2003,1202,1202,Long,No,0.25
16,1,2003,962,908,Long,No,0.25
4,1,2003,1202,1202,Long,No,0.25
11,1,2003,1218,1218,Long,No,0.25
7,1,2003,1203,1203,Long,No,0.25
1,1,2003,1181,727,Long,No,0.25
18,1,2003,1201,0,Long,No,0.25
11,1,2003,1206,1181,Long,No,0.25
7,1,2003,1190,0,Long,No,0.25
3,1,2003,1202,0,Long,No,0.25
4,1,2003,1201,680,Long,No,0.25
18,1,2003,1206,1029,Long,No,0.25
9,1,2003,965,923,Long,No,0.25
1,1,2003,1201,1201,Long,No,0.25
11,1,2003,1200,821,Long,No,0.25
7,1,2003,1199,542,Long,No,0.25
16,1,2003,1133,873,Long,No,0.25
4,1,2003,1210,1210,Long,No,0.25
9,1,2003,1200,0,Long,No,0.25
3,1,2003,1210,988,Long,No,0.25
1,1,2003,1202,1202,Long,No,0.25
18,1,2003,1204,265,Long,No,0.25
16,1,2003,1207,0,Long,No,0.25
11,1,2003,1200,71,Long,No,0.25
9,1,2003,1205,1137,Long,No,0.25
11,1,2003,1204,1165,Long,No,0.25
18,1,2003,1204,1204,Long,No,0.25
1,1,2003,1205,1205,Long,No,0.25
7,1,2003,1201,1055,Long,No,0.25
3,1,2003,1204,12,Long,No,0.25
4,1,2003,1371,639,Long,No,0.25
18,1,2003,1203,1203,Long,No,0.25
9,1,2003,1207,1173,Long,No,0.25
16,1,2003,1226,1067,Long,No,0.25
1,1,2003,1203,1203,Long,No,0.25
3,1,2003,1210,1199,Long,No,0.25
16,1,2003,1210,1189,Long,No,0.25
1,1,2003,1202,1202,Long,No,0.25
7,1,2003,1203,0,Long,No,0.25
4,1,2003,1203,0,Long,No,0.25
3,1,2003,1214,662,Long,No,0.25
16,1,2003,1201,1101,Long,No,0.25
11,1,2003,1183,781,Long,No,0.25
18,1,2003,1204,1160,Long,No,0.25
16,1,2003,1202,264,Long,No,0.25
1,1,2003,1303,1149,Long,No,0.25
4,1,2003,1204,945,Long,No,0.25
11,1,2003,927,927,Long,No,0.25
3,1,2003,1203,468,Long,No,0.25
4,1,2003,1208,0,Long,No,0.25
11,1,2003,1252,805,Long,No,0.25
7,1,2003,1185,1185,Long,No,0.25
16,1,2003,1205,1195,Long,No,0.25
3,1,2003,1204,1204,Long,No,0.25
18,1,2003,1202,0,Long,No,0.25
1,1,2003,1217,0,Long,No,0.25
7,1,2003,1203,1109,Long,No,0.25
3,1,2003,1219,887,Long,No,0.25
1,1,2003,1350,1178,Long,No,0.25
11,1,2003,1060,900,Long,No,0.25
4,1,2003,1202,887,Long,No,0.25
18,1,2003,1101,899,Long,No,0.25
7,1,2003,1209,0,Long,No,0.22
8,1,2003,1202,689,Long,No,0.22
4,1,2003,1213,1145,Long,No,0.22
11,1,2003,1200,908,Long,No,0.22
18,1,2003,1205,807,Long,No,0.22
3,1,2003,1212,845,Long,No,0.22
7,1,2003,1208,595,Long,No,0.22
1,1,2003,1157,1157,Long,No,0.22
16,1,2003,1201,1063,Long,No,0.22
4,1,2003,1199,1199,Long,No,0.22
3,1,2003,1203,1203,Long,No,0.22
8,1,2003,1204,1181,Long,No,0.22
18,1,2003,1016,98,Long,No,0.22
7,1,2003,1207,0,Long,No,0.22
3,1,2003,1206,1206,Long,No,0.25
8,1,2003,1202,1111,Long,No,0.25
11,1,2003,1202,835,Long,No,0.25
16,1,2003,1201,883,Long,No,0.25
9,1,2003,1200,20,Long,No,0.25
